"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.849879908E0,-6.429125786E0,-4.935813904E0,9.142867327E-1,8.156705063E0
3.869796085E0,-6.735453606E0,-3.096894264E0,-5.143662095E-1,7.431127906E0
3.889716575E0,-2.599885225E0,-3.565778732E-1,-2.332697392E0,3.511129175E0
3.909623251E0,2.946240187E0,1.312417984E0,-2.215206623E-3,3.225333643E0
3.929537211E0,3.897289753E0,7.770137787E-1,-1.683179259E0,4.315751412E0
3.949466754E0,2.582023144E0,8.804378510E-1,1.140635014E-1,2.730389131E0
3.969380490E0,1.828533769E0,2.191954613E0,2.973242998E0,4.121695609E0
3.989300675E0,-3.621086180E-1,3.103274822E0,2.818441391E0,4.207736820E0
4.009218011E0,-2.420292616E0,3.842546940E0,3.052443743E0,5.471781806E0
4.029129651E0,-3.943365097E0,4.462533951E0,3.495371580E0,6.905212526E0
4.049050670E0,-4.964545250E0,5.155319691E0,3.630356312E0,8.025180222E0
4.068972767E0,-5.268701077E0,6.059986591E0,3.417109251E0,8.726928678E0
4.088884570E0,-4.921332836E0,7.248496532E0,2.701557159E0,9.168349358E0
4.108800645E0,-4.302695751E0,7.505179405E0,1.113081932E0,8.722376971E0
4.128722560E0,-2.879685402E0,6.202274323E0,-2.328039169E0,7.223611365E0
4.148643721E0,3.443204165E-1,3.211453438E0,-9.877974510E0,1.039261133E1
4.168561139E0,5.713299751E0,-7.882434845E0,-2.310691071E1,2.507396848E1
4.188478231E0,8.129940033E0,-1.814300728E1,-7.755908489E0,2.134054251E1
4.208396564E0,5.544703960E0,-5.950395584E0,-5.858754635E0,1.002376952E1
4.228314247E0,4.233638763E0,3.037433147E0,-6.991351128E0,8.719443095E0
4.248220780E0,3.030409813E0,1.160069466E0,4.183466911E0,5.294387613E0
4.268137853E0,-3.926379383E-1,-3.907229424E0,9.743150711E0,1.050474141E1
4.288080661E0,-4.167622089E0,-4.026662827E0,5.197436810E0,7.784371316E0
4.307984549E0,-3.325582027E0,-6.655664444E-1,-5.748963833E0,6.674807837E0
4.327902069E0,-6.451471329E0,2.520060062E0,-4.576827288E-1,6.941300923E0
4.347824126E0,-7.709799290E0,1.965706348E0,2.421866417E0,8.316877027E0
4.367737109E0,-7.256242752E0,-1.297378540E-2,1.731273890E0,7.459928718E0
4.387650783E0,-5.061170101E0,-6.559104919E-1,5.558089912E-2,5.103797665E0
4.407572901E0,-2.554126024E0,-8.315896988E-1,-2.578496933E-3,2.686095274E0
4.427490216E0,1.423631549E0,-9.226741791E-1,1.855040550E0,2.513807843E0
4.447407716E0,4.276077271E0,-2.144041061E-1,2.106767654E0,4.771716242E0
4.467319559E0,5.047491550E0,1.432676315E0,7.576397657E-1,5.301297048E0
4.487242654E0,3.290540934E0,2.908520222E0,-1.827342987E0,4.756714403E0
4.507160600E0,3.450964928E0,3.011427879E0,-3.464392185E0,5.742810289E0
4.527070938E0,3.340258837E0,2.143857002E0,-4.050211430E0,5.670772837E0
4.546996291E0,1.842140436E0,5.185098648E-1,-4.039935112E0,4.470280704E0
4.566913871E0,5.542729497E-1,-1.168364525E0,-4.459884644E0,4.643583228E0
4.586831656E0,-7.317972183E-2,-2.100244522E0,-6.099344254E0,6.451231095E0
4.606749440E0,6.316862106E-1,-8.928623199E-1,-5.637102127E0,5.742225264E0
4.626657580E0,2.281275511E0,1.071243286E-1,-2.745748997E0,3.571390644E0
4.646578823E0,3.097591400E0,-1.849174500E-2,-1.701949596E0,3.534408983E0
4.666502161E0,3.175890684E0,-1.116561890E0,-4.329276085E0,5.484124680E0
4.686419884E0,4.063534737E0,-2.413241386E0,-6.406517029E0,7.961124857E0
4.706337628E0,5.811719894E0,-2.548393250E0,-5.893421173E0,8.660416238E0
4.726249064E0,7.198062420E0,-2.116609573E0,-4.773200035E0,8.892444954E0
4.746166259E0,6.600594521E0,-3.162418365E0,-4.829414845E0,8.768807541E0
4.766090777E0,4.220806599E0,-3.582658768E0,-6.607515335E0,8.620319663E0
4.786008480E0,2.757136583E0,-3.821812630E0,-7.642288208E0,8.978453262E0
4.805929072E0,2.296492100E0,-4.635675430E0,-6.936408043E0,8.653156603E0
4.825842969E0,2.871355295E0,-5.272085190E0,-5.164342880E0,7.918964633E0
4.845758028E0,2.689585209E0,-4.618959427E0,-2.579741955E0,5.934957737E0
4.865679189E0,2.731797993E-1,-4.020693779E0,2.113527775E0,4.550560990E0
4.885596221E0,-1.834450841E0,-4.798026085E0,4.311741829E0,6.706517859E0
4.905514411E0,-3.815691471E0,-5.607335091E0,3.531554222E0,7.646802171E0
4.925431931E0,-6.019622803E0,-5.550701141E0,-1.010005832E0,8.250227489E0
4.945349695E0,-2.755124569E0,-1.802545547E0,-3.433702707E0,4.757120571E0
4.965267438E0,-6.762739420E-1,9.414834976E-1,-1.026215434E0,1.548178200E0
4.985178814E0,1.024522662E0,2.486507416E0,1.011012077E0,2.873066521E0
5.005103780E0,1.633517742E0,3.783556938E0,2.125577211E0,4.636999224E0
5.025020363E0,7.869826555E-1,4.249352455E0,2.956373215E0,5.236074920E0
5.044938310E0,4.420712590E-2,4.148612976E0,3.290094614E0,5.295060572E0
5.064854019E0,-1.103092432E0,3.512179375E0,3.062901497E0,4.788902009E0
5.084766473E0,-2.869776726E0,3.596806526E0,3.107080221E0,5.552169229E0
5.104691745E0,-4.365002632E0,4.685088634E0,3.193139076E0,7.155378442E0
5.124609488E0,-4.832493782E0,6.248841763E0,2.813172102E0,8.385401410E0
5.144526337E0,-4.771158695E0,7.017982483E0,1.902556658E0,8.696881928E0
5.164444711E0,-3.787028313E0,6.121661186E0,2.999222279E-2,7.198417788E0
5.184354805E0,-1.497411013E0,4.290368080E0,-3.021059275E0,5.456766180E0
5.204280137E0,1.330755591E0,6.676292419E-2,-1.019678402E1,1.028347082E1
5.224197127E0,5.460479259E0,-1.200450420E1,-1.911017418E1,2.321903771E1
5.244115542E0,7.652317524E0,-1.349145889E1,-7.658019066E0,1.729805430E1
5.264032390E0,4.885678291E0,-2.454164505E0,-4.756637096E0,7.246956068E0
5.283949564E0,3.836385489E0,3.720333099E0,-6.172038078E0,8.164115753E0
5.303868752E0,2.656934500E0,3.137069225E0,2.094788313E0,4.613961675E0
5.323786272E0,2.806308270E-1,-3.612623215E-1,8.039864540E0,8.052868182E0
5.343695369E0,-3.717744350E0,-3.365647316E0,6.879737377E0,8.513518150E0
5.363610467E0,-3.676640511E0,-2.611890793E0,-1.284670711E0,4.689353665E0
5.383539197E0,-4.537931442E0,2.021884918E-1,-3.816835403E0,5.933121814E0
5.403456127E0,-6.728513718E0,6.046113968E-1,3.421036005E-1,6.764280203E0
5.423374480E0,-6.753099918E0,-8.410263062E-2,5.347470045E-1,6.774760964E0
5.443292264E0,-4.911125660E0,-6.241292953E-1,2.358650565E-1,4.956241010E0
5.463202725E0,-2.609727144E0,-4.747419357E-1,8.478473425E-1,2.784762250E0
5.483127528E0,1.000761867E0,-9.843807220E-1,2.003208876E0,2.446093931E0
5.503045861E0,3.691963911E0,-9.388723373E-1,2.904415369E0,4.790376543E0
5.522961733E0,3.969058990E0,1.658964157E-1,1.236825347E0,4.160611473E0
5.542880982E0,3.394018173E0,2.384859562E0,-9.894402027E-1,4.264493687E0
5.562789855E0,3.101430893E0,3.902537346E0,-2.736555815E0,5.686599076E0
5.582715004E0,3.043156624E0,3.540515423E0,-3.839716673E0,6.044789146E0
5.602635799E0,2.046298265E0,1.811133385E0,-3.140134811E0,4.162689919E0
5.622544774E0,6.304007769E-1,-9.204931259E-1,-4.364808559E0,4.505137789E0
5.642460829E0,-3.804045916E-1,-2.742780685E0,-7.693473816E0,8.176618671E0
5.662384981E0,9.953081608E-3,-1.953364372E0,-6.855418205E0,7.128288028E0
5.682303477E0,1.684533358E0,-1.125230789E-1,-2.797669411E0,3.267608944E0
5.702218250E0,3.189361334E0,6.492805481E-1,-6.340703964E-1,3.315966860E0
5.722138272E0,3.651349068E0,4.445457458E-2,-3.556917191E0,5.097645155E0
5.742057684E0,4.135208130E0,-1.534185410E0,-6.147172928E0,7.565805057E0
5.761974492E0,5.180317879E0,-2.523780823E0,-5.260317326E0,7.802313845E0
5.781892968E0,6.443251610E0,-2.101840019E0,-4.258194923E0,8.004089379E0
5.801809450E0,6.614365101E0,-2.374291420E0,-4.393339634E0,8.287853677E0
5.821727213E0,4.739465714E0,-4.027644157E0,-6.028762341E0,8.662010625E0
5.841644713E0,3.648924351E0,-5.126577377E0,-6.338087082E0,8.931281676E0
5.861548051E0,3.153994799E0,-5.198536873E0,-4.946336746E0,7.838285273E0
5.881473384E0,2.636294603E0,-4.796027184E0,-4.992887020E0,7.408160823E0
5.901397902E0,1.439046860E0,-4.429732323E0,-4.948406219E0,6.795594781E0
5.921314730E0,-7.668296695E-1,-3.614212990E0,-2.951864004E-1,3.706440110E0
5.941237377E0,-3.123086452E0,-4.194705009E0,3.384552240E0,6.229318821E0
5.961150868E0,-4.858201981E0,-4.959117889E0,2.896736622E0,7.522370622E0
5.981058378E0,-6.867722988E0,-5.111238480E0,-9.934054017E-1,8.618423993E0
6.000979153E0,-4.093053341E0,-2.265958786E0,-2.648342133E0,5.375999528E0
6.020904058E0,9.797691703E-1,2.200088501E-1,5.008240342E-1,1.122130222E0
6.040820865E0,1.967148304E0,2.100060463E0,1.156651139E0,3.101252691E0
6.060739036E0,2.412244558E0,2.234910011E0,8.003737330E-1,3.384426788E0
6.080649069E0,1.854461789E0,2.782182217E0,2.428864002E0,4.132668237E0
6.100567300E0,6.416577101E-1,3.202875614E0,3.278957844E0,4.628358387E0
6.120492185E0,-1.508074045E0,3.627475739E0,3.256503105E0,5.102713007E0
6.140409664E0,-2.979113579E0,4.135640144E0,3.303173304E0,6.073680185E0
6.160327509E0,-4.266418934E0,4.779741287E0,3.459975481E0,7.281461915E0
6.180243259E0,-4.893244743E0,5.522454262E0,3.364976406E0,8.109525967E0
6.200167167E0,-4.732973576E0,6.569764137E0,2.630899191E0,8.513781195E0
6.220082876E0,-3.952290535E0,6.794666290E0,1.266335726E0,7.961890268E0
6.239997994E0,-2.531319618E0,5.599458694E0,-1.355178356E0,6.292696168E0
6.259916165E0,-1.629161239E-1,3.211452484E0,-6.373631954E0,7.138848157E0
6.279819220E0,3.972085238E0,-3.130973816E0,-1.591991806E1,1.670401895E1
6.299736780E0,8.654163361E0,-1.406076431E1,-1.264006615E1,2.079353045E1
6.319654280E0,7.024576187E0,-8.527546883E0,-4.759028435E0,1.202963333E1
6.339576825E0,3.204150677E0,6.324071884E-1,-5.729310989E0,6.594810446E0
6.359497417E0,1.709888935E0,2.380208015E0,-2.965625286E0,4.169417670E0
6.379415181E0,-5.784004927E-2,-3.665343285E0,5.635696411E0,6.723032121E0
6.399325112E0,-4.259643078E0,-6.115793228E0,7.499416828E0,1.057301938E1
6.419243160E0,-4.206868649E0,-2.479205132E0,-1.532751679E0,5.117961471E0
6.439178644E0,-4.834348679E0,3.011811256E0,-2.991821289E0,6.433733661E0
6.459081414E0,-7.226169586E0,3.767363548E0,3.349219322E0,8.810665415E0
6.479010632E0,-7.575352669E0,1.577307701E0,2.922636032E0,8.271376489E0
