"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.789215918E0,6.154043198E0,1.748045921E0,-1.722260857E1,1.837242929E1
3.809138627E0,1.732115746E1,-6.768583298E0,-2.148336983E1,2.841428153E1
3.829055783E0,4.203582287E0,-2.888763428E0,-1.456816387E1,1.543523426E1
3.848974037E0,-1.548412800E0,-3.875777245E0,-7.430944920E0,8.522803168E0
3.868891599E0,6.338992596E0,-2.060447311E1,-4.599275112E0,2.204269655E1
3.888800841E0,1.299244690E1,-3.333023453E1,6.879738808E0,3.642854672E1
3.908724140E0,6.837777615E0,-1.969918442E1,2.214331818E1,3.041610773E1
3.928641051E0,8.696465492E-1,-9.453426361E0,1.379758453E1,1.674804150E1
3.948558105E0,2.298885584E0,-3.200127602E0,1.925190353E1,1.965099186E1
3.968468465E0,5.692748547E0,4.011784554E0,1.506419945E1,1.659614131E1
3.988391398E0,4.865439892E0,8.340345383E0,1.353724289E1,1.662801285E1
4.008309165E0,-2.074271917E0,3.841136217E0,2.023310661E1,2.069868437E1
4.028219098E0,-9.896818161E0,-5.220022202E-1,1.985558510E1,2.219152441E1
4.048141951E0,-1.175815773E1,-1.383928299E0,6.407266140E0,1.346189400E1
4.068059655E0,-1.020421600E1,7.099294662E-2,4.008225918E0,1.096343647E1
4.087977624E0,-9.547670364E0,2.682133675E0,4.988201618E0,1.110108129E1
4.107895187E0,-8.267514229E0,4.655138969E0,4.471005917E0,1.048866075E1
4.127811284E0,-5.376602650E0,3.064252377E0,4.261428356E0,7.513805315E0
4.147728236E0,-2.985850334E0,-4.811395645E0,4.793579102E0,7.419112540E0
4.167645310E0,2.100459290E1,-2.786776352E1,1.076165676E1,3.651874070E1
4.187562486E0,3.916365051E1,-2.820284271E1,1.962051964E1,5.209756856E1
4.207479377E0,2.552120781E1,-1.936763382E1,5.419359207E0,3.249317993E1
4.227396451E0,1.027387428E1,-1.082025719E1,-5.800540924E0,1.600864558E1
4.247312773E0,-8.644813299E-1,-5.099045753E0,-3.840966702E0,6.442097544E0
4.267232410E0,-6.037744999E0,-2.176655769E0,-5.029871464E0,8.154250545E0
4.287147449E0,-3.789715052E0,4.419907570E0,-8.516633987E0,1.031651964E1
4.307057301E0,-2.003645420E0,1.064607811E1,-9.654735565E0,1.451094390E1
4.326973378E0,-2.023105383E0,1.502273750E1,-1.214741898E1,1.942512253E1
4.346891673E0,-4.248376846E0,1.621407700E1,-1.714567566E1,2.397747260E1
4.366812898E0,-5.968344688E0,1.458326817E1,-1.799356270E1,2.391779980E1
4.386731660E0,-6.827475548E0,1.447636223E1,-1.185025978E1,1.991502304E1
4.406648978E0,-5.217608929E0,1.397304058E1,-4.673592567E0,1.563047579E1
4.426555961E0,1.727626991E1,1.581330299E1,4.515864182E1,5.087074782E1
4.446475843E0,1.613260269E1,2.480974197E0,3.727288818E1,4.069010071E1
4.466392958E0,4.148992538E0,2.670558453E0,-1.745355034E1,1.813759744E1
4.486309951E0,7.677377701E0,1.395280361E0,-2.117975044E1,2.257145907E1
4.506232558E0,1.071625328E1,-4.696283340E0,-2.320150566E1,2.598466907E1
4.526151016E0,2.654355526E0,-5.420016289E0,-1.752094269E1,1.853120645E1
4.546060867E0,3.150272846E0,-1.006985188E1,-5.899118423E0,1.208824776E1
4.565984737E0,1.179815197E1,-3.031822777E1,-5.115348816E0,3.293263000E1
4.585902136E0,1.435509109E1,-3.019144821E1,2.715474892E1,4.306939254E1
4.605811520E0,4.616195202E0,-1.390368652E1,1.949104118E1,2.438283092E1
4.625735389E0,1.214560032E0,-6.792108536E0,6.407294273E0,9.416013718E0
4.645653033E0,1.441714764E0,6.988754272E-1,1.918085098E1,1.924764954E1
4.665570188E0,2.357159138E0,6.779687881E0,1.610744095E1,1.763434209E1
4.685487344E0,1.060319424E0,9.203503609E0,1.157500648E1,1.482597488E1
4.705398986E0,-4.964738846E0,5.274540424E0,1.959804535E1,2.089384574E1
4.725316751E0,-1.141672325E1,-1.078576565E0,1.743362236E1,2.086710535E1
4.745229838E0,-1.099438667E1,-2.693062782E0,1.107994080E1,1.583964057E1
